county_FIPS,phase,iteration,alpha_old,beta_old,alpha_new,beta_new,forward_mean,T_target_c,T_c,N_c,R_c,r_frac,f_target,calib_target_source,bias_pct,adjustment_direction,converged
06109,1,3,3.5891,3.4109,3.854,3.146,27765.9,31445.2,51458.0,48622,2836,0.8843,0.5884,acs,-0.117007,increase,False
06109,1,4,3.854,3.146,3.854,3.146,29605.5,31445.2,51458.0,48622,2836,0.8843,0.5884,acs,-0.058503,within_band,True
06109,2,0,3.854,3.146,3.854,3.146,43253.1,51458.0,51458.0,48622,2836,0.8843,0.5884,acs,-0.159448,P95_check_pass=True,True
06111,1,1,2.0,5.0,4.465,2.535,93734.3,260551.4,262920.0,236860,26060,0.8613,0.99,acs_clipped,-0.640246,increase,False
06111,1,2,4.465,2.535,5.6975,1.3025,177142.8,260551.4,262920.0,236860,26060,0.8613,0.99,acs_clipped,-0.320123,increase,False
06111,1,3,5.6975,1.3025,6.3138,0.6862,218847.1,260551.4,262920.0,236860,26060,0.8613,0.99,acs_clipped,-0.160062,increase,False
06111,1,4,6.3138,0.6862,6.3138,0.6862,239699.3,260551.4,262920.0,236860,26060,0.8613,0.99,acs_clipped,-0.080031,within_band,True
06111,2,0,6.3138,0.6862,6.3138,0.6862,262494.3,262920.0,262920.0,236860,26060,0.8613,0.99,acs_clipped,-0.001619,P95_check_pass=True,True
06113,1,1,2.0,5.0,4.465,2.535,31438.0,74693.8,75308.0,61418,13890,0.8038,0.99,acs_clipped,-0.579108,increase,False
06113,1,2,4.465,2.535,5.6975,1.3025,53065.9,74693.8,75308.0,61418,13890,0.8038,0.99,acs_clipped,-0.289554,increase,False
06113,1,3,5.6975,1.3025,6.3138,0.6862,63879.9,74693.8,75308.0,61418,13890,0.8038,0.99,acs_clipped,-0.144777,increase,False
06113,1,4,6.3138,0.6862,6.3138,0.6862,69286.8,74693.8,75308.0,61418,13890,0.8038,0.99,acs_clipped,-0.072389,within_band,True
06113,2,0,6.3138,0.6862,6.3138,0.6862,75197.6,75308.0,75308.0,61418,13890,0.8038,0.99,acs_clipped,-0.001466,P95_check_pass=True,True
06115,1,1,2.0,5.0,3.7118,3.2882,11103.6,29626.2,38155.0,37872,283,0.4956,0.7748,acs,-0.625211,increase,False
06115,1,2,3.7118,3.2882,4.5677,2.4323,20364.9,29626.2,38155.0,37872,283,0.4956,0.7748,acs,-0.312606,increase,False
